neighborhood_municipality,infections,reinfections,deaths,hospitalizations,pcr_tests,positive_pcr_tests,update_date
Kennedy,10909,510,40,82,16995,1698,2022-04-11
Kilbuck,487,22,0,3,956,136,2022-04-11
Knoxville (Pittsburgh),3006,309,4,47,5440,751,2022-04-11
Larimer (Pittsburgh),2408,222,12,54,4960,459,2022-04-11
Leet,1034,67,2,9,1904,230,2022-04-11
Leetsdale,945,34,2,7,1733,160,2022-04-11
Liberty,2690,182,6,30,3925,645,2022-04-11
Lincoln,725,35,2,18,1256,232,2022-04-11
Lincoln Place (Pittsburgh),2587,247,7,38,4975,655,2022-04-11
Lincoln-Lemington-Belmar (Pittsburgh),5787,571,13,76,9129,827,2022-04-11
Lower Lawrenceville (Pittsburgh),2350,66,2,22,5732,503,2022-04-11
Manchester (Pittsburgh),1681,88,7,49,3820,512,2022-04-11
Marshall,5350,185,6,36,14382,1435,2022-04-11
Marshall-Shadeland (Pittsburgh),3490,318,4,55,6564,872,2022-04-11
McCandless,24698,1119,130,222,47197,4852,2022-04-11
Mcdonald,302,0,0,3,408,57,2022-04-11
Mckees rocks,5210,397,19,87,9847,1243,2022-04-11
McKeesport,27257,2573,107,440,41630,5089,2022-04-11
Middle Hill (Pittsburgh),1174,42,6,37,2425,308,2022-04-11
Millvale,2626,141,4,17,5807,675,2022-04-11
Monroeville,34972,2784,131,457,57450,5895,2022-04-11
Moon,31784,2460,55,185,42592,4876,2022-04-11
Morningside (Pittsburgh),2505,166,6,37,6405,631,2022-04-11
Mount Lebanon,34176,2700,89,195,73891,5923,2022-04-11
Mount Oliver Borough,2994,162,6,39,5462,703,2022-04-11
Mount Washington (Pittsburgh),8249,620,9,58,15555,1908,2022-04-11
Mt. Oliver (Pittsburgh),257,31,0,9,542,87,2022-04-11
Munhall,10066,551,33,171,19233,2392,2022-04-11
Neville,652,56,3,11,1419,158,2022-04-11
New Homestead (Pittsburgh),730,94,1,8,1499,199,2022-04-11
North Braddock,4005,362,8,64,6986,868,2022-04-11
North Fayette,12430,679,24,97,20959,2688,2022-04-11
North Oakland (Pittsburgh),5473,203,10,36,23282,1040,2022-04-11
North Shore (Pittsburgh),507,24,0,3,2164,83,2022-04-11
North Versailles,9085,724,22,184,16024,1994,2022-04-11
Northview Heights (Pittsburgh),1276,51,7,27,2497,288,2022-04-11
O'Hara,5549,276,9,79,14905,1325,2022-04-11
Oakdale,1403,34,6,19,2125,263,2022-04-11
Oakmont,11346,624,28,82,25829,1394,2022-04-11
Oakwood (Pittsburgh),641,47,3,14,1365,182,2022-04-11
Ohio,7585,929,6,36,15126,1371,2022-04-11
Overbrook (Pittsburgh),3934,282,9,42,6054,749,2022-04-11
Penn Hills,39051,3054,107,586,71446,7788,2022-04-11
Pennsbury Village,690,66,0,1,1127,141,2022-04-11
Perry North (Pittsburgh),3544,192,7,40,6649,808,2022-04-11
Perry South (Pittsburgh),3977,242,11,64,8028,848,2022-04-11
Pine,11381,481,13,62,22525,2438,2022-04-11
Pitcairn,2676,142,9,42,4876,557,2022-04-11
Pleasant Hills,9413,624,33,90,16270,1761,2022-04-11
Plum,22454,1697,70,269,39567,4689,2022-04-11
Point Breeze (Pittsburgh),3058,88,3,14,13208,777,2022-04-11
Point Breeze North (Pittsburgh),1391,77,2,18,4794,358,2022-04-11
Polish Hill (Pittsburgh),923,23,0,8,2712,205,2022-04-11
Port Vue,3888,372,13,65,6458,974,2022-04-11
Rankin,1112,124,1,26,2275,296,2022-04-11
Regent Square (Pittsburgh),629,4,2,4,2272,143,2022-04-11
Reserve,2444,137,6,34,4725,606,2022-04-11
Richland,10051,626,49,89,16619,2049,2022-04-11
Ridgemont (Pittsburgh),459,13,1,0,652,88,2022-04-11
Robinson,14950,852,23,113,29246,2935,2022-04-11
Ross,37238,3256,137,351,69748,6136,2022-04-11
Rosslyn Farms,214,0,0,2,571,66,2022-04-11
